decision_route,provider,model_used,predicted_flag,class_probabilities,primary_risk_probability,risk_score,risk_score_100,recommended_action,row_index
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,3231
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,4352
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,33545
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,3,"{'class_0_prob': 0.0432, 'class_1_prob': 0.1612, 'class_2_prob': 0.0546, 'class_3_prob': 0.7411}",0.7411,0.1612,16.12,Decilne - risk score below cut-off,11185
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,24203
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,25373
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,28690
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,27323
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,38922
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,14152
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,38993
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,45041
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,21774
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,2,"{'class_0_prob': 0.2438, 'class_1_prob': 0.1828, 'class_2_prob': 0.5231, 'class_3_prob': 0.0503}",0.5231,0.1828,18.28,Decilne - risk score below cut-off,10141
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,0,"{'class_0_prob': 0.739, 'class_1_prob': 0.1605, 'class_2_prob': 0.057, 'class_3_prob': 0.0435}",0.739,0.1605,16.05,Decilne - risk score below cut-off,29845
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,0,"{'class_0_prob': 0.7197, 'class_1_prob': 0.172, 'class_2_prob': 0.0617, 'class_3_prob': 0.0466}",0.7197,0.172,17.2,Decilne - risk score below cut-off,14650
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,0,"{'class_0_prob': 0.7177, 'class_1_prob': 0.1726, 'class_2_prob': 0.0629, 'class_3_prob': 0.0468}",0.7177,0.1726,17.26,Decilne - risk score below cut-off,46784
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,50174
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,34752
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,28691
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,22664
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,42742
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,0,"{'class_0_prob': 0.739, 'class_1_prob': 0.1605, 'class_2_prob': 0.057, 'class_3_prob': 0.0435}",0.739,0.1605,16.05,Decilne - risk score below cut-off,34571
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,3,"{'class_0_prob': 0.0431, 'class_1_prob': 0.1609, 'class_2_prob': 0.0542, 'class_3_prob': 0.7419}",0.7419,0.1609,16.09,Decilne - risk score below cut-off,17840
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,0,"{'class_0_prob': 0.7197, 'class_1_prob': 0.172, 'class_2_prob': 0.0617, 'class_3_prob': 0.0466}",0.7197,0.172,17.2,Decilne - risk score below cut-off,19369
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,14683
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,15087
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,50173
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,15050
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,34216
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,28903
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,41735
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,48745
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,17180
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,50964
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,11516
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,50521
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,8073
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,21048
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,16469
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,10485
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,25890
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,4912
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,0,"{'class_0_prob': 0.741, 'class_1_prob': 0.1609, 'class_2_prob': 0.0545, 'class_3_prob': 0.0436}",0.741,0.1609,16.09,Decilne - risk score below cut-off,30804
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,0,"{'class_0_prob': 0.6769, 'class_1_prob': 0.1974, 'class_2_prob': 0.0723, 'class_3_prob': 0.0535}",0.6769,0.1974,19.74,Decilne - risk score below cut-off,7901
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,10062
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,0,"{'class_0_prob': 0.7385, 'class_1_prob': 0.1608, 'class_2_prob': 0.0571, 'class_3_prob': 0.0436}",0.7385,0.1608,16.08,Decilne - risk score below cut-off,32588
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,46625
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,13996
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,1965
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,44063
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,43483
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,3,"{'class_0_prob': 0.0432, 'class_1_prob': 0.1612, 'class_2_prob': 0.0546, 'class_3_prob': 0.7411}",0.7411,0.1612,16.12,Decilne - risk score below cut-off,8426
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,36458
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,3,"{'class_0_prob': 0.0431, 'class_1_prob': 0.1609, 'class_2_prob': 0.0542, 'class_3_prob': 0.7419}",0.7419,0.1609,16.09,Decilne - risk score below cut-off,46739
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,1863
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,28511
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,16737
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,2790
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,0,"{'class_0_prob': 0.739, 'class_1_prob': 0.1605, 'class_2_prob': 0.057, 'class_3_prob': 0.0435}",0.739,0.1605,16.05,Decilne - risk score below cut-off,16700
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,3,"{'class_0_prob': 0.0432, 'class_1_prob': 0.1612, 'class_2_prob': 0.0546, 'class_3_prob': 0.7411}",0.7411,0.1612,16.12,Decilne - risk score below cut-off,8577
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,47475
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,2644
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,47632
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,0,"{'class_0_prob': 0.7385, 'class_1_prob': 0.1608, 'class_2_prob': 0.0571, 'class_3_prob': 0.0436}",0.7385,0.1608,16.08,Decilne - risk score below cut-off,40896
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,42625
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,3,"{'class_0_prob': 0.0431, 'class_1_prob': 0.1609, 'class_2_prob': 0.0542, 'class_3_prob': 0.7419}",0.7419,0.1609,16.09,Decilne - risk score below cut-off,29927
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,3,"{'class_0_prob': 0.0431, 'class_1_prob': 0.1609, 'class_2_prob': 0.0542, 'class_3_prob': 0.7419}",0.7419,0.1609,16.09,Decilne - risk score below cut-off,2638
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,19523
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,0,"{'class_0_prob': 0.7197, 'class_1_prob': 0.172, 'class_2_prob': 0.0617, 'class_3_prob': 0.0466}",0.7197,0.172,17.2,Decilne - risk score below cut-off,26365
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,17943
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,40073
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,50791
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,28869
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,6469
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,32410
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,37475
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,24522
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,78
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,39839
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,659
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,45268
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,48239
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,43349
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,8185
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,8687
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,3127
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,19411
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,42517
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,27233
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,17699
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,3236
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,0,"{'class_0_prob': 0.7405, 'class_1_prob': 0.1612, 'class_2_prob': 0.0546, 'class_3_prob': 0.0437}",0.7405,0.1612,16.12,Decilne - risk score below cut-off,741
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,9020
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,6249
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,22493
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,37168
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,3,"{'class_0_prob': 0.0432, 'class_1_prob': 0.1612, 'class_2_prob': 0.0546, 'class_3_prob': 0.7411}",0.7411,0.1612,16.12,Decilne - risk score below cut-off,16074
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,0,"{'class_0_prob': 0.7395, 'class_1_prob': 0.1614, 'class_2_prob': 0.0553, 'class_3_prob': 0.0438}",0.7395,0.1614,16.14,Decilne - risk score below cut-off,31231
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,34245
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,3,"{'class_0_prob': 0.0431, 'class_1_prob': 0.1609, 'class_2_prob': 0.0542, 'class_3_prob': 0.7419}",0.7419,0.1609,16.09,Decilne - risk score below cut-off,26718
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,20927
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,30746
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,0,"{'class_0_prob': 0.739, 'class_1_prob': 0.1605, 'class_2_prob': 0.057, 'class_3_prob': 0.0435}",0.739,0.1605,16.05,Decilne - risk score below cut-off,27698
AUTO_REJECT,ML_Policy_Engine,Gradient Boosting,0,"{'class_0_prob': 0.739, 'class_1_prob': 0.1605, 'class_2_prob': 0.057, 'class_3_prob': 0.0435}",0.739,0.1605,16.05,Decilne - risk score below cut-off,10115
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,25466
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,23093
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,42732
AUTO_APPROVE,ML_Policy_Engine,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,27614
